CPU Load: 57.07% | Memory Usage: 29.91% | CPU Temperature: 61.25 °C
CPU Load: 63.58% | Memory Usage: 30.22% | CPU Temperature: 61.87 °C
CPU Load: 58.18% | Memory Usage: 30.12% | CPU Temperature: 61.25 °C
CPU Load: 50.59% | Memory Usage: 30.17% | CPU Temperature: 61.87 °C
CPU Load: 67.34% | Memory Usage: 30.22% | CPU Temperature: 63.12 °C
CPU Load: 51.61% | Memory Usage: 30.22% | CPU Temperature: 60.62 °C
CPU Load: 63.51% | Memory Usage: 30.22% | CPU Temperature: 61.87 °C
CPU Load: 48.74% | Memory Usage: 30.22% | CPU Temperature: 60.62 °C
CPU Load: 49.66% | Memory Usage: 30.22% | CPU Temperature: 61.25 °C
CPU Load: 32.15% | Memory Usage: 30.22% | CPU Temperature: 60.00 °C
CPU Load: 41.94% | Memory Usage: 30.17% | CPU Temperature: 60.62 °C
CPU Load: 62.75% | Memory Usage: 30.17% | CPU Temperature: 63.12 °C
CPU Load: 66.05% | Memory Usage: 30.12% | CPU Temperature: 63.12 °C
CPU Load: 63.47% | Memory Usage: 30.22% | CPU Temperature: 61.87 °C
CPU Load: 61.89% | Memory Usage: 30.22% | CPU Temperature: 61.87 °C
CPU Load: 56.25% | Memory Usage: 30.17% | CPU Temperature: 61.87 °C
CPU Load: 57.09% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 51.68% | Memory Usage: 30.22% | CPU Temperature: 62.50 °C
CPU Load: 51.85% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 51.34% | Memory Usage: 30.22% | CPU Temperature: 61.25 °C
CPU Load: 72.94% | Memory Usage: 30.22% | CPU Temperature: 63.75 °C
CPU Load: 59.73% | Memory Usage: 30.17% | CPU Temperature: 61.87 °C
CPU Load: 67.23% | Memory Usage: 30.22% | CPU Temperature: 63.12 °C
CPU Load: 43.41% | Memory Usage: 30.12% | CPU Temperature: 60.00 °C
CPU Load: 38.85% | Memory Usage: 30.17% | CPU Temperature: 60.00 °C
CPU Load: 23.95% | Memory Usage: 30.22% | CPU Temperature: 58.33 °C
CPU Load: 44.15% | Memory Usage: 30.22% | CPU Temperature: 58.88 °C
CPU Load: 59.73% | Memory Usage: 30.33% | CPU Temperature: 60.62 °C
CPU Load: 61.64% | Memory Usage: 30.22% | CPU Temperature: 60.62 °C
CPU Load: 60.61% | Memory Usage: 30.17% | CPU Temperature: 61.87 °C
CPU Load: 60.40% | Memory Usage: 30.22% | CPU Temperature: 61.25 °C
CPU Load: 64.07% | Memory Usage: 30.17% | CPU Temperature: 61.87 °C
CPU Load: 53.19% | Memory Usage: 30.22% | CPU Temperature: 63.12 °C
CPU Load: 62.06% | Memory Usage: 30.22% | CPU Temperature: 61.25 °C
CPU Load: 59.66% | Memory Usage: 30.17% | CPU Temperature: 61.87 °C
CPU Load: 54.35% | Memory Usage: 30.17% | CPU Temperature: 60.62 °C
CPU Load: 55.24% | Memory Usage: 30.22% | CPU Temperature: 61.87 °C
CPU Load: 65.43% | Memory Usage: 30.22% | CPU Temperature: 62.50 °C
CPU Load: 56.47% | Memory Usage: 30.17% | CPU Temperature: 61.87 °C
CPU Load: 39.63% | Memory Usage: 30.17% | CPU Temperature: 60.62 °C
CPU Load: 35.34% | Memory Usage: 30.17% | CPU Temperature: 60.00 °C
CPU Load: 19.22% | Memory Usage: 27.37% | CPU Temperature: 57.77 °C
CPU Load: 44.54% | Memory Usage: 30.22% | CPU Temperature: 60.00 °C
CPU Load: 54.55% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 64.65% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 60.40% | Memory Usage: 30.17% | CPU Temperature: 62.50 °C
CPU Load: 51.84% | Memory Usage: 30.17% | CPU Temperature: 63.12 °C
CPU Load: 66.50% | Memory Usage: 30.17% | CPU Temperature: 62.50 °C
CPU Load: 57.24% | Memory Usage: 30.17% | CPU Temperature: 62.50 °C
CPU Load: 55.82% | Memory Usage: 30.22% | CPU Temperature: 61.87 °C
CPU Load: 54.21% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 63.42% | Memory Usage: 30.17% | CPU Temperature: 63.12 °C
CPU Load: 49.07% | Memory Usage: 30.22% | CPU Temperature: 61.87 °C
CPU Load: 61.01% | Memory Usage: 30.17% | CPU Temperature: 63.75 °C
CPU Load: 51.27% | Memory Usage: 30.22% | CPU Temperature: 61.87 °C
CPU Load: 56.35% | Memory Usage: 30.38% | CPU Temperature: 62.50 °C
CPU Load: 31.71% | Memory Usage: 30.22% | CPU Temperature: 59.44 °C
CPU Load: 35.98% | Memory Usage: 28.93% | CPU Temperature: 60.62 °C
CPU Load: 58.32% | Memory Usage: 30.12% | CPU Temperature: 61.25 °C
CPU Load: 69.87% | Memory Usage: 30.22% | CPU Temperature: 61.25 °C
CPU Load: 63.07% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 59.40% | Memory Usage: 30.22% | CPU Temperature: 63.12 °C
CPU Load: 54.41% | Memory Usage: 30.22% | CPU Temperature: 62.50 °C
CPU Load: 64.61% | Memory Usage: 30.17% | CPU Temperature: 63.12 °C
CPU Load: 56.73% | Memory Usage: 30.22% | CPU Temperature: 60.62 °C
CPU Load: 52.68% | Memory Usage: 30.22% | CPU Temperature: 61.25 °C
CPU Load: 52.09% | Memory Usage: 30.22% | CPU Temperature: 61.25 °C
CPU Load: 68.96% | Memory Usage: 30.22% | CPU Temperature: 63.75 °C
CPU Load: 56.30% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 74.29% | Memory Usage: 30.22% | CPU Temperature: 61.87 °C
CPU Load: 49.24% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 37.77% | Memory Usage: 30.22% | CPU Temperature: 61.25 °C
CPU Load: 24.24% | Memory Usage: 30.22% | CPU Temperature: 60.62 °C
CPU Load: 45.45% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 62.37% | Memory Usage: 30.22% | CPU Temperature: 60.62 °C
CPU Load: 60.03% | Memory Usage: 30.22% | CPU Temperature: 61.87 °C
CPU Load: 61.47% | Memory Usage: 30.22% | CPU Temperature: 61.25 °C
CPU Load: 62.79% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 65.82% | Memory Usage: 30.22% | CPU Temperature: 61.25 °C
CPU Load: 51.18% | Memory Usage: 30.22% | CPU Temperature: 61.25 °C
CPU Load: 60.03% | Memory Usage: 30.17% | CPU Temperature: 62.50 °C
CPU Load: 61.15% | Memory Usage: 30.27% | CPU Temperature: 61.25 °C
CPU Load: 54.70% | Memory Usage: 30.17% | CPU Temperature: 62.50 °C
CPU Load: 62.75% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 62.31% | Memory Usage: 30.17% | CPU Temperature: 61.87 °C
CPU Load: 62.10% | Memory Usage: 30.22% | CPU Temperature: 62.50 °C
CPU Load: 34.85% | Memory Usage: 30.22% | CPU Temperature: 60.00 °C
CPU Load: 34.96% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 17.57% | Memory Usage: 30.17% | CPU Temperature: 56.66 °C
CPU Load: 35.30% | Memory Usage: 30.17% | CPU Temperature: 60.00 °C
CPU Load: 51.85% | Memory Usage: 30.33% | CPU Temperature: 60.00 °C
CPU Load: 63.32% | Memory Usage: 30.38% | CPU Temperature: 62.50 °C
CPU Load: 62.27% | Memory Usage: 30.43% | CPU Temperature: 61.87 °C
CPU Load: 53.61% | Memory Usage: 30.48% | CPU Temperature: 61.87 °C
CPU Load: 65.26% | Memory Usage: 30.48% | CPU Temperature: 62.50 °C
CPU Load: 54.38% | Memory Usage: 30.43% | CPU Temperature: 61.25 °C
CPU Load: 58.08% | Memory Usage: 30.48% | CPU Temperature: 61.25 °C
CPU Load: 65.82% | Memory Usage: 30.48% | CPU Temperature: 63.75 °C
CPU Load: 60.30% | Memory Usage: 30.53% | CPU Temperature: 63.12 °C
CPU Load: 48.90% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 62.63% | Memory Usage: 30.53% | CPU Temperature: 63.75 °C
CPU Load: 52.86% | Memory Usage: 30.53% | CPU Temperature: 63.12 °C
CPU Load: 48.90% | Memory Usage: 30.48% | CPU Temperature: 61.87 °C
CPU Load: 34.62% | Memory Usage: 30.48% | CPU Temperature: 61.87 °C
CPU Load: 32.26% | Memory Usage: 28.98% | CPU Temperature: 58.88 °C
CPU Load: 56.85% | Memory Usage: 30.53% | CPU Temperature: 60.62 °C
CPU Load: 65.82% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 63.64% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 61.18% | Memory Usage: 30.48% | CPU Temperature: 63.12 °C
CPU Load: 51.35% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 61.28% | Memory Usage: 30.59% | CPU Temperature: 61.25 °C
CPU Load: 63.58% | Memory Usage: 30.53% | CPU Temperature: 63.75 °C
CPU Load: 52.76% | Memory Usage: 30.48% | CPU Temperature: 61.87 °C
CPU Load: 51.93% | Memory Usage: 30.48% | CPU Temperature: 63.12 °C
CPU Load: 67.50% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 58.32% | Memory Usage: 30.53% | CPU Temperature: 63.12 °C
CPU Load: 63.13% | Memory Usage: 30.48% | CPU Temperature: 62.50 °C
CPU Load: 44.93% | Memory Usage: 30.53% | CPU Temperature: 60.62 °C
CPU Load: 37.48% | Memory Usage: 30.48% | CPU Temperature: 60.00 °C
CPU Load: 23.66% | Memory Usage: 30.53% | CPU Temperature: 59.44 °C
CPU Load: 46.30% | Memory Usage: 30.53% | CPU Temperature: 58.88 °C
CPU Load: 62.46% | Memory Usage: 30.48% | CPU Temperature: 60.62 °C
CPU Load: 62.65% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 65.05% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 59.83% | Memory Usage: 30.48% | CPU Temperature: 63.75 °C
CPU Load: 74.70% | Memory Usage: 30.48% | CPU Temperature: 61.87 °C
CPU Load: 53.02% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 63.59% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 58.63% | Memory Usage: 30.53% | CPU Temperature: 63.75 °C
CPU Load: 54.53% | Memory Usage: 30.53% | CPU Temperature: 63.12 °C
CPU Load: 51.93% | Memory Usage: 30.48% | CPU Temperature: 63.75 °C
CPU Load: 66.16% | Memory Usage: 30.59% | CPU Temperature: 63.12 °C
CPU Load: 52.79% | Memory Usage: 30.48% | CPU Temperature: 60.62 °C
CPU Load: 39.56% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 36.59% | Memory Usage: 30.48% | CPU Temperature: 62.50 °C
CPU Load: 16.69% | Memory Usage: 27.16% | CPU Temperature: 56.11 °C
CPU Load: 39.32% | Memory Usage: 30.48% | CPU Temperature: 60.00 °C
CPU Load: 54.48% | Memory Usage: 30.48% | CPU Temperature: 61.87 °C
CPU Load: 65.09% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 65.71% | Memory Usage: 30.59% | CPU Temperature: 60.62 °C
CPU Load: 53.87% | Memory Usage: 30.59% | CPU Temperature: 61.25 °C
CPU Load: 66.78% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 60.00% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 55.52% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 53.01% | Memory Usage: 30.53% | CPU Temperature: 60.62 °C
CPU Load: 65.37% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 51.34% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 63.82% | Memory Usage: 30.48% | CPU Temperature: 62.50 °C
CPU Load: 49.58% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 51.78% | Memory Usage: 30.48% | CPU Temperature: 60.62 °C
CPU Load: 31.21% | Memory Usage: 30.48% | CPU Temperature: 61.87 °C
CPU Load: 32.66% | Memory Usage: 28.56% | CPU Temperature: 58.88 °C
CPU Load: 57.24% | Memory Usage: 30.48% | CPU Temperature: 61.25 °C
CPU Load: 70.61% | Memory Usage: 30.48% | CPU Temperature: 61.87 °C
CPU Load: 63.34% | Memory Usage: 30.59% | CPU Temperature: 61.25 °C
CPU Load: 60.17% | Memory Usage: 30.59% | CPU Temperature: 62.50 °C
CPU Load: 52.36% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 64.87% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 55.22% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 52.51% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 52.51% | Memory Usage: 30.59% | CPU Temperature: 63.12 °C
CPU Load: 70.97% | Memory Usage: 30.48% | CPU Temperature: 64.37 °C
CPU Load: 52.45% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 64.81% | Memory Usage: 30.48% | CPU Temperature: 63.12 °C
CPU Load: 49.16% | Memory Usage: 30.48% | CPU Temperature: 60.62 °C
CPU Load: 46.32% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 25.08% | Memory Usage: 30.53% | CPU Temperature: 60.62 °C
CPU Load: 53.23% | Memory Usage: 30.53% | CPU Temperature: 60.62 °C
CPU Load: 57.50% | Memory Usage: 30.53% | CPU Temperature: 60.62 °C
CPU Load: 58.72% | Memory Usage: 30.53% | CPU Temperature: 63.12 °C
CPU Load: 63.15% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 61.21% | Memory Usage: 30.48% | CPU Temperature: 63.75 °C
CPU Load: 63.07% | Memory Usage: 30.48% | CPU Temperature: 61.87 °C
CPU Load: 49.58% | Memory Usage: 30.53% | CPU Temperature: 63.12 °C
CPU Load: 55.97% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 58.11% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 53.54% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 59.60% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
